sehir_adi,analiz_baslangic_tarih,analiz_baslangic_saat,analiz_bitis_tarih,analiz_bitis_saat,sonuc
Ankara,15-01-2024,00:00,21-01-2024,23:59,0.23
Antalya,15-01-2024,00:00,21-01-2024,23:59,0.2
Artvin,15-01-2024,00:00,21-01-2024,23:59,0.19
Aydın,15-01-2024,00:00,21-01-2024,23:59,0.24
Balıkesir,15-01-2024,00:00,21-01-2024,23:59,0.15
Bilecik,15-01-2024,00:00,21-01-2024,23:59,0.14
Bingöl,15-01-2024,00:00,21-01-2024,23:59,0.12
Bitlis,15-01-2024,00:00,21-01-2024,23:59,0.16
Bolu,15-01-2024,00:00,21-01-2024,23:59,0.17
Burdur,15-01-2024,00:00,21-01-2024,23:59,0.11
Bursa,15-01-2024,00:00,21-01-2024,23:59,0.33
Çanakkale,15-01-2024,00:00,21-01-2024,23:59,0.14
Çankırı,15-01-2024,00:00,21-01-2024,23:59,0.11
Çorum,15-01-2024,00:00,21-01-2024,23:59,0.12
Denizli,15-01-2024,00:00,21-01-2024,23:59,0.23
Diyarbakır,15-01-2024,00:00,21-01-2024,23:59,0.17
Edirne,15-01-2024,00:00,21-01-2024,23:59,0.18
Elazığ,15-01-2024,00:00,21-01-2024,23:59,0.14
Erzincan,15-01-2024,00:00,21-01-2024,23:59,0.14
Erzurum,15-01-2024,00:00,21-01-2024,23:59,0.16
Eskişehir,15-01-2024,00:00,21-01-2024,23:59,0.18
Gaziantep,15-01-2024,00:00,21-01-2024,23:59,0.21
Giresun,15-01-2024,00:00,21-01-2024,23:59,0.17
Gümüşhane,15-01-2024,00:00,21-01-2024,23:59,0.1
Hakkari,15-01-2024,00:00,21-01-2024,23:59,0.14
Hatay,15-01-2024,00:00,21-01-2024,23:59,0.25
Isparta,15-01-2024,00:00,21-01-2024,23:59,0.18
Mersin,15-01-2024,00:00,21-01-2024,23:59,0.24
İstanbul,15-01-2024,00:00,21-01-2024,23:59,0.41
